"pcd","pcd2","pcds","oslaua","msoa11","lsoa11","oa11","casward","statsward","osward"
"OX1 1ER","OX1  1ER","OX1 1ER","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1ES","OX1  1ES","OX1 1ES","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1ET","OX1  1ET","OX1 1ET","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EU","OX1  1EU","OX1 1EU","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1EW","OX1  1EW","OX1 1EW","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EX","OX1  1EX","OX1 1EX","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EY","OX1  1EY","OX1 1EY","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EZ","OX1  1EZ","OX1 1EZ","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1FB","OX1  1FB","OX1 1FB","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FD","OX1  1FD","OX1 1FD","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FH","OX1  1FH","OX1 1FH","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1FJ","OX1  1FJ","OX1 1FJ","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1FL","OX1  1FL","OX1 1FL","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FP","OX1  1FP","OX1 1FP","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FR","OX1  1FR","OX1 1FR","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FS","OX1  1FS","OX1 1FS","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FT","OX1  1FT","OX1 1FT","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1FX","OX1  1FX","OX1 1FX","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1GA","OX1  1GA","OX1 1GA","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1GB","OX1  1GB","OX1 1GB","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1GD","OX1  1GD","OX1 1GD","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1GE","OX1  1GE","OX1 1GE","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1GF","OX1  1GF","OX1 1GF","E07000178","E02005948","E01028548","E00145452","38UCGF","38UCGF","E05006556"
"OX1 1GH","OX1  1GH","OX1 1GH","E07000178","E02005948","E01028548","E00145452","38UCGF","38UCGF","E05006556"
"OX1 1GJ","OX1  1GJ","OX1 1GJ","E07000178","E02005948","E01028548","E00145452","38UCGF","38UCGF","E05006556"
"OX1 1GL","OX1  1GL","OX1 1GL","E07000178","E02005948","E01028548","E00145452","38UCGF","38UCGF","E05006556"
"OX1 1HA","OX1  1HA","OX1 1HA","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1HB","OX1  1HB","OX1 1HB","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1HD","OX1  1HD","OX1 1HD","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HE","OX1  1HE","OX1 1HE","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1HF","OX1  1HF","OX1 1HF","E07000178","E02005947","E01028522","E00175318","38UCFW","38UCFW","E05006547"
"OX1 1HG","OX1  1HG","OX1 1HG","E07000178","E02005947","E01028522","E00175318","38UCFW","38UCFW","E05006547"
"OX1 1HH","OX1  1HH","OX1 1HH","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HJ","OX1  1HJ","OX1 1HJ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HL","OX1  1HL","OX1 1HL","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HN","OX1  1HN","OX1 1HN","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HP","OX1  1HP","OX1 1HP","E07000178","E02005948","E01028551","E00145454","38UCGF","38UCGF","E05006556"
"OX1 1HQ","OX1  1HQ","OX1 1HQ","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1HR","OX1  1HR","OX1 1HR","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HS","OX1  1HS","OX1 1HS","E07000178","E02005948","E01028549","E00145456","38UCGF","38UCGF","E05006556"
"OX1 1HT","OX1  1HT","OX1 1HT","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1HU","OX1  1HU","OX1 1HU","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1HW","OX1  1HW","OX1 1HW","E07000178","E02005948","E01028551","E00172587","38UCGF","38UCGF","E05006556"
"OX1 1HX","OX1  1HX","OX1 1HX","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1HY","OX1  1HY","OX1 1HY","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1HZ","OX1  1HZ","OX1 1HZ","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1JA","OX1  1JA","OX1 1JA","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1JB","OX1  1JB","OX1 1JB","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JD","OX1  1JD","OX1 1JD","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JE","OX1  1JE","OX1 1JE","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1JF","OX1  1JF","OX1 1JF","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JG","OX1  1JG","OX1 1JG","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JH","OX1  1JH","OX1 1JH","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JJ","OX1  1JJ","OX1 1JJ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JL","OX1  1JL","OX1 1JL","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JN","OX1  1JN","OX1 1JN","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JP","OX1  1JP","OX1 1JP","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1JQ","OX1  1JQ","OX1 1JQ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JR","OX1  1JR","OX1 1JR","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1JS","OX1  1JS","OX1 1JS","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JT","OX1  1JT","OX1 1JT","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JU","OX1  1JU","OX1 1JU","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JW","OX1  1JW","OX1 1JW","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1JX","OX1  1JX","OX1 1JX","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1JY","OX1  1JY","OX1 1JY","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1JZ","OX1  1JZ","OX1 1JZ","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1LA","OX1  1LA","OX1 1LA","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1LB","OX1  1LB","OX1 1LB","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1LD","OX1  1LD","OX1 1LD","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1LE","OX1  1LE","OX1 1LE","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1LF","OX1  1LF","OX1 1LF","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1LG","OX1  1LG","OX1 1LG","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LH","OX1  1LH","OX1 1LH","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1LJ","OX1  1LJ","OX1 1LJ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LL","OX1  1LL","OX1 1LL","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LN","OX1  1LN","OX1 1LN","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1LP","OX1  1LP","OX1 1LP","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1LQ","OX1  1LQ","OX1 1LQ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LR","OX1  1LR","OX1 1LR","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1LS","OX1  1LS","OX1 1LS","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LT","OX1  1LT","OX1 1LT","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LU","OX1  1LU","OX1 1LU","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1LW","OX1  1LW","OX1 1LW","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LX","OX1  1LX","OX1 1LX","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LY","OX1  1LY","OX1 1LY","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1LZ","OX1  1LZ","OX1 1LZ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NA","OX1  1NA","OX1 1NA","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NB","OX1  1NB","OX1 1NB","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1ND","OX1  1ND","OX1 1ND","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NE","OX1  1NE","OX1 1NE","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1NF","OX1  1NF","OX1 1NF","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NG","OX1  1NG","OX1 1NG","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NH","OX1  1NH","OX1 1NH","E07000178","E02005947","E01028521","E00172578","38UCFW","38UCFW","E05006547"
"OX1 1NJ","OX1  1NJ","OX1 1NJ","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1NL","OX1  1NL","OX1 1NL","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1NN","OX1  1NN","OX1 1NN","E07000178","E02005948","E01028549","E00145437","38UCGF","38UCGF","E05006556"
"OX1 1NP","OX1  1NP","OX1 1NP","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1NQ","OX1  1NQ","OX1 1NQ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NR","OX1  1NR","OX1 1NR","E07000178","E02005947","E01028522","E00172582","38UCFW","38UCFW","E05006547"
"OX1 1NS","OX1  1NS","OX1 1NS","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NT","OX1  1NT","OX1 1NT","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1NU","OX1  1NU","OX1 1NU","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NW","OX1  1NW","OX1 1NW","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1NX","OX1  1NX","OX1 1NX","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1NY","OX1  1NY","OX1 1NY","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1NZ","OX1  1NZ","OX1 1NZ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1PA","OX1  1PA","OX1 1PA","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1PB","OX1  1PB","OX1 1PB","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1PD","OX1  1PD","OX1 1PD","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
